2017-08-01,90026,19.28,34.08,1.54,2.26,7564.68,6861.40,0.91,-4.50,5.50
2017-08-01,90027,18.95,34.03,1.55,2.17,7579.12,6602.45,0.87,-4.38,5.41
2017-08-01,90028,19.08,33.91,1.54,2.24,7589.90,6752.95,0.89,-4.40,5.43
2017-08-01,90029,19.18,33.99,1.55,2.25,7565.22,6882.12,0.91,-4.53,5.50
2017-08-01,90031,19.55,34.46,1.55,2.27,7559.44,6913.35,0.91,-4.56,5.60
2017-08-01,90032,19.65,34.61,1.55,2.26,7559.90,6929.01,0.92,-4.59,5.64
2017-08-01,90033,19.39,34.09,1.54,2.28,7569.88,6964.95,0.92,-4.56,5.55
2017-08-01,90034,18.27,32.39,1.52,2.26,7622.65,6703.25,0.88,-4.22,5.10
2017-08-01,90035,18.49,32.83,1.53,2.26,7621.34,6687.44,0.88,-4.24,5.18
2017-08-01,90036,18.78,33.33,1.54,2.25,7598.33,6805.17,0.90,-4.40,5.34
2017-08-01,90037,18.70,32.91,1.52,2.29,7601.39,7185.37,0.95,-4.65,5.43
2017-08-01,90038,19.01,33.75,1.54,2.25,7584.61,6861.13,0.90,-4.49,5.45
2017-08-01,90039,19.42,34.47,1.55,2.24,7563.12,6641.29,0.88,-4.35,5.48
2017-08-01,90040,19.40,33.82,1.54,2.32,7579.56,6971.36,0.92,-4.49,5.49
2017-08-01,90041,19.60,34.87,1.57,2.20,7561.38,6571.40,0.87,-4.36,5.54
2017-08-01,90042,19.66,34.82,1.56,2.23,7554.51,6720.69,0.89,-4.46,5.59
2017-08-01,90043,18.36,32.33,1.51,2.29,7609.60,6981.92,0.92,-4.44,5.21
2017-08-01,90044,18.35,32.12,1.50,2.32,7633.00,7175.16,0.94,-4.54,5.27
2017-08-01,90045,17.77,31.28,1.49,2.30,7604.50,6933.23,0.91,-4.34,4.98
2017-08-01,90046,18.26,33.05,1.53,2.14,7636.93,6660.39,0.87,-4.38,5.27
2017-08-01,90047,18.29,32.07,1.50,2.31,7630.03,7174.84,0.94,-4.55,5.26
2017-08-01,90048,18.68,33.19,1.54,2.25,7612.02,6695.38,0.88,-4.28,5.26
2017-08-01,90049,17.26,31.61,1.51,2.10,7732.91,6890.99,0.89,-4.51,5.15
2017-08-01,90056,18.16,32.04,1.51,2.29,7602.47,6932.81,0.91,-4.39,5.13
2017-08-01,90057,19.11,33.77,1.54,2.27,7566.86,6897.37,0.91,-4.51,5.46
2017-08-01,90058,19.10,33.46,1.53,2.31,7581.46,6803.28,0.90,-4.34,5.34
2017-08-01,90059,18.44,32.14,1.49,2.33,7624.52,7197.70,0.94,-4.55,5.27
2017-08-01,90061,18.28,31.88,1.49,2.33,7634.29,7122.07,0.93,-4.46,5.19
2017-08-01,90062,18.60,32.77,1.52,2.29,7602.81,7163.54,0.94,-4.63,5.39
2017-08-01,90063,19.49,34.20,1.54,2.29,7569.88,6957.37,0.92,-4.55,5.57
2017-08-01,90064,18.19,32.31,1.52,2.26,7640.53,6717.94,0.88,-4.23,5.10
2017-08-01,90065,19.44,34.51,1.56,2.23,7554.84,6734.21,0.89,-4.47,5.54
2017-08-01,90066,17.92,31.74,1.51,2.27,7624.83,6855.74,0.90,-4.32,5.05
2017-08-01,90067,18.38,32.67,1.52,2.25,7635.49,6824.04,0.89,-4.35,5.22
2017-08-01,90068,18.76,33.77,1.54,2.16,7611.47,6829.63,0.90,-4.56,5.48
2017-08-01,90069,18.50,33.16,1.53,2.20,7634.82,6452.85,0.85,-4.11,5.16
2017-08-01,90071,19.16,33.78,1.54,2.28,7572.34,6921.05,0.91,-4.51,5.47
2017-08-01,90073,18.15,32.34,1.52,2.24,7668.51,6855.95,0.89,-4.35,5.19
2017-08-01,90077,17.41,31.99,1.52,2.08,7703.67,6756.45,0.88,-4.46,5.16
2017-08-01,90089,18.83,33.14,1.52,2.29,7589.87,7167.47,0.94,-4.67,5.46
2017-08-01,90090,19.38,34.17,1.54,2.27,7566.55,6839.59,0.90,-4.47,5.50
2017-08-01,90094,17.81,31.45,1.50,2.29,7608.20,6982.10,0.92,-4.41,5.04
2017-08-01,90095,18.27,32.60,1.52,2.24,7675.02,6732.08,0.88,-4.26,5.18
2017-08-01,90201,19.15,33.37,1.52,2.32,7587.01,7026.85,0.93,-4.50,5.43
2017-08-01,90210,18.08,32.71,1.53,2.15,7663.94,6666.25,0.87,-4.33,5.21
2017-08-01,90211,18.58,33.05,1.53,2.25,7622.37,6805.48,0.89,-4.37,5.29
2017-08-01,90212,18.46,32.84,1.53,2.25,7633.71,6775.83,0.89,-4.33,5.23
2017-08-01,90220,18.24,31.61,1.48,2.35,7633.28,7112.42,0.93,-4.41,5.12
2017-08-01,90221,18.43,31.91,1.49,2.35,7626.49,7226.98,0.95,-4.53,5.24
2017-08-01,90222,18.44,32.06,1.49,2.34,7623.43,7233.52,0.95,-4.56,5.27
2017-08-01,90230,18.09,31.98,1.51,2.28,7607.87,7009.92,0.92,-4.47,5.16
2017-08-01,90232,18.25,32.33,1.52,2.27,7615.15,6807.01,0.89,-4.31,5.14
2017-08-01,90240,19.36,33.58,1.53,2.34,7591.31,7043.25,0.93,-4.51,5.48
2017-08-01,90241,19.21,33.30,1.52,2.34,7594.16,7122.99,0.94,-4.55,5.46
2017-08-01,90242,19.02,32.94,1.51,2.35,7597.13,7241.97,0.95,-4.63,5.45
2017-08-01,90245,17.52,30.71,1.48,2.31,7611.29,6735.98,0.88,-4.12,4.76
2017-08-01,90247,17.95,31.24,1.48,2.34,7631.93,7082.82,0.93,-4.39,5.04
2017-08-01,90248,17.95,31.17,1.47,2.35,7631.70,7093.77,0.93,-4.38,5.03
2017-08-01,90249,17.90,31.20,1.48,2.33,7631.99,7094.74,0.93,-4.41,5.04
2017-08-01,90250,17.82,31.15,1.48,2.32,7624.64,7105.82,0.93,-4.43,5.04
2017-08-01,90254,17.21,29.96,1.46,2.34,7622.74,6677.84,0.88,-4.00,4.58
2017-08-01,90255,18.92,33.08,1.52,2.32,7590.87,7003.05,0.92,-4.48,5.36
2017-08-01,90260,17.63,30.73,1.47,2.33,7632.02,6987.02,0.92,-4.29,4.89
2017-08-01,90262,18.70,32.49,1.50,2.34,7608.41,7213.09,0.95,-4.58,5.35
2017-08-01,90263,16.72,29.97,1.51,2.20,7733.83,6673.51,0.86,-4.09,4.68
2017-08-01,90265,15.39,28.39,1.52,2.05,7792.16,6418.75,0.82,-3.97,4.38
2017-08-01,90266,17.34,30.29,1.47,2.33,7618.19,6691.83,0.88,-4.04,4.66
2017-08-01,90270,19.18,33.51,1.53,2.31,7580.37,6918.13,0.91,-4.43,5.40
2017-08-01,90272,16.67,30.81,1.51,2.06,7773.17,6708.08,0.86,-4.33,4.94
2017-08-01,90274,16.53,28.58,1.42,2.33,7649.58,6728.43,0.88,-3.97,4.37
2017-08-01,90275,16.30,28.14,1.41,2.33,7649.86,6748.22,0.88,-3.97,4.31
2017-08-01,90277,17.05,29.53,1.45,2.35,7630.28,6735.84,0.88,-4.00,4.53
2017-08-01,90278,17.44,30.37,1.46,2.34,7633.18,6928.52,0.91,-4.22,4.79
2017-08-01,90280,18.87,32.85,1.51,2.33,7597.84,7168.07,0.94,-4.58,5.40
2017-08-01,90290,16.04,30.12,1.50,1.99,7815.45,6510.58,0.83,-4.19,4.77
2017-08-01,90291,17.69,31.34,1.50,2.27,7629.08,6522.12,0.85,-4.01,4.80
2017-08-01,90292,17.67,31.23,1.50,2.28,7614.49,6824.36,0.90,-4.26,4.92
2017-08-01,90293,17.53,30.88,1.49,2.29,7604.95,6715.62,0.88,-4.14,4.79
2017-08-01,90301,18.03,31.68,1.50,2.30,7608.55,7134.84,0.94,-4.53,5.16
2017-08-01,90302,18.16,31.97,1.50,2.30,7605.10,7082.81,0.93,-4.51,5.19
2017-08-01,90303,18.04,31.61,1.49,2.32,7622.86,7150.56,0.94,-4.51,5.15
2017-08-01,90304,17.90,31.40,1.49,2.31,7613.29,7105.83,0.93,-4.47,5.08
2017-08-01,90305,18.20,31.95,1.50,2.31,7620.91,7132.59,0.94,-4.52,5.21
2017-08-01,90401,17.67,31.42,1.51,2.25,7658.73,6561.69,0.86,-4.04,4.85
2017-08-01,90402,17.74,31.61,1.51,2.24,7686.89,6721.64,0.87,-4.19,4.98
2017-08-01,90403,17.78,31.65,1.51,2.25,7672.94,6764.90,0.88,-4.23,5.01
2017-08-01,90404,17.86,31.76,1.51,2.25,7662.02,6910.08,0.90,-4.37,5.09
2017-08-01,90405,17.78,31.57,1.51,2.26,7644.73,6692.60,0.88,-4.17,4.94
2017-08-01,90501,17.51,30.27,1.45,2.36,7632.94,7096.84,0.93,-4.33,4.85
2017-08-01,90502,17.62,30.43,1.46,2.36,7631.12,7161.19,0.94,-4.39,4.91
2017-08-01,90503,17.32,30.03,1.45,2.35,7636.16,7037.88,0.92,-4.28,4.78
2017-08-01,90504,17.60,30.58,1.46,2.35,7634.25,7053.96,0.92,-4.32,4.89
2017-08-01,90505,17.15,29.57,1.44,2.36,7638.71,6859.97,0.90,-4.09,4.60
2017-08-01,90506,17.80,31.00,1.47,2.34,7632.33,7036.97,0.92,-4.34,4.97
2017-08-01,90601,19.97,34.68,1.55,2.30,7584.37,6985.35,0.92,-4.56,5.69
2017-08-01,90602,19.93,34.43,1.54,2.33,7587.70,6840.30,0.90,-4.37,5.55
2017-08-01,90603,20.00,34.36,1.54,2.36,7590.28,7043.07,0.93,-4.52,5.64
2017-08-01,90604,19.81,34.03,1.53,2.36,7582.90,7209.29,0.95,-4.65,5.65
2017-08-01,90605,19.81,34.16,1.54,2.34,7584.96,7011.00,0.92,-4.51,5.58
2017-08-01,90606,19.77,34.23,1.54,2.34,7577.44,6940.02,0.92,-4.46,5.56
