x,y,z,station_id,date,day_asce_eto,day_asce_eto_qc,day_precip,day_precip_qc,day_sol_rad_avg,day_sol_rad_avg_qc,day_vap_pres_avg,day_vap_pres_avg_qc,day_air_tmp_max,day_air_tmp_max_qc,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_avg,day_air_tmp_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_rel_hum_min,day_rel_hum_min_qc,day_rel_hum_avg,day_rel_hum_avg_qc,day_dew_pnt,day_dew_pnt_qc,day_wind_spd_avg,day_wind_spd_avg_qc
-10122.22,-186749.82,86.87,2,2017-08-01,7.19,K,0.00,K,301.00,K,1.40,K,38.20,K,17.60,K,28.90,K,66.00,K,18.00,K,34.00,K,11.60,K,1.80,K
65062.32,-275799.21,109.73,5,2017-08-01,6.74,K,0.00,K,288.00,K,1.40,K,39.00,K,26.90,R,33.90,R,88.00,K,15.00,K,,R,,I,1.70,K
-154658.42,59179.42,18.29,6,2017-08-01,7.06,K,0.00,K,306.00,K,1.70,K,38.30,K,16.30,K,26.00,K,91.00,K,28.00,K,50.00,K,14.90,K,2.10,K
-52618.08,-129355.35,56.39,7,2017-08-01,6.68,K,0.00,K,314.00,K,1.40,K,38.50,K,20.50,K,29.40,K,53.00,K,20.00,K,34.00,K,12.00,K,1.30,K
-156548.54,178484.16,39.62,12,2017-08-01,5.55,K,0.00,K,416.00,R,2.60,Y,36.30,K,22.80,Y,29.70,Y,96.00,K,45.00,K,62.00,Y,21.60,Y,0.90,K
-63686.81,82147.03,847.34,13,2017-08-01,7.79,K,0.00,K,328.00,K,1.30,K,38.10,K,22.60,K,30.30,K,47.00,K,19.00,K,30.00,K,10.90,K,1.90,K
13350.13,-206552.95,58.83,15,2017-08-01,7.72,K,0.00,K,299.00,K,1.30,K,40.20,K,18.70,K,30.50,K,56.00,K,15.00,K,30.00,K,10.90,K,2.00,K
-158097.11,-137271.85,2.74,19,2017-08-01,,N,0.00,K,234.00,K,0.20,R,,S,,S,,S,,H,,H,,Q,,Q,2.30,K
9479.77,-238804.37,103.63,21,2017-08-01,7.29,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
141024.47,-71944.64,1271.02,35,2017-08-01,6.79,K,0.00,K,339.00,K,1.30,K,38.50,K,13.00,K,26.50,K,74.00,K,16.00,K,39.00,K,11.40,K,0.90,K
44310.07,-157609.45,102.72,39,2017-08-01,5.75,K,0.00,K,240.00,K,1.90,K,38.70,K,20.10,K,29.30,K,76.00,K,21.00,K,45.00,K,16.30,K,1.50,K
428468.53,-541900.08,-33.53,41,2017-08-01,7.05,K,0.30,K,240.00,K,2.50,K,42.10,K,27.80,K,35.00,K,71.00,K,31.00,K,44.00,K,21.00,K,2.30,K
-122457.57,339518.87,1008.89,43,2017-08-01,6.05,K,0.00,K,292.00,K,1.50,K,39.80,Y,12.80,K,25.70,Y,86.00,K,16.00,K,45.00,Y,12.70,Y,1.30,K
246099.4,-446599.12,310.9,44,2017-08-01,3.85,K,6.80,K,183.00,K,2.70,R,37.30,K,21.80,K,27.00,K,99.00,K,36.00,K,,R,,I,1.60,K
-145702.09,-8519.12,13.72,47,2017-08-01,7.07,K,0.00,K,292.00,K,1.60,K,38.70,K,14.80,K,26.70,K,78.00,K,25.00,K,44.00,K,13.60,K,2.10,K
-60126.51,-301060.61,100.58,52,2017-08-01,4.23,K,0.00,K,246.00,K,1.70,K,28.80,K,14.20,K,20.10,K,98.00,K,48.00,K,72.00,K,14.90,K,1.40,K
3681.44,-263014.6,214.88,54,2017-08-01,8.02,K,0.00,K,309.00,K,1.10,K,40.10,K,20.10,K,30.90,K,55.00,K,10.00,K,24.00,K,8.30,K,2.00,K
