x,y,z,station_id,date,day_asce_eto,day_asce_eto_qc,day_precip,day_precip_qc,day_sol_rad_avg,day_sol_rad_avg_qc,day_vap_pres_avg,day_vap_pres_avg_qc,day_air_tmp_max,day_air_tmp_max_qc,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_avg,day_air_tmp_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_rel_hum_min,day_rel_hum_min_qc,day_rel_hum_avg,day_rel_hum_avg_qc,day_dew_pnt,day_dew_pnt_qc,day_wind_spd_avg,day_wind_spd_avg_qc
-66913.3,-101968.32,28.96,56,2017-08-01,6.71,K,0.00,K,310.00,K,1.70,K,38.30,K,16.60,K,28.20,K,72.00,K,33.00,K,46.00,K,15.40,K,1.50,K
-36891.52,252732.5,1220.72,57,2017-08-01,7.09,K,0.00,K,304.00,K,0.90,K,37.70,K,14.80,K,27.80,Y,53.00,K,12.00,K,25.00,Y,6.10,Y,1.80,K
257693.18,-499325.02,432.82,62,2017-08-01,4.67,H,0.00,H,47.00,H,2.30,Y,29.70,K,22.50,Y,25.00,H,94.00,H,29.00,H,72.00,Y,19.50,Y,0.90,H
-7266.49,-381460.28,149.35,64,2017-08-01,3.43,K,0.10,K,155.00,K,1.60,K,31.00,K,12.30,K,20.80,K,97.00,K,40.00,K,66.00,K,14.30,K,1.60,K
400345.71,-574641.47,12.19,68,2017-08-01,7.07,K,0.40,K,254.00,K,2.30,K,41.70,K,27.60,K,34.40,K,71.00,K,23.00,K,41.00,K,19.40,K,2.10,K
-107505.23,-19488.1,10.06,70,2017-08-01,6.36,K,0.00,K,289.00,K,1.70,K,39.80,Y,15.20,K,27.00,K,100.00,K,25.00,K,48.00,K,15.10,K,1.60,K
-104655.53,-40603.22,10.67,71,2017-08-01,5.42,K,0.00,K,254.00,K,1.90,K,38.80,Y,14.70,K,26.30,K,95.00,K,30.00,K,56.00,K,16.90,K,1.40,K
211338.43,-478178.74,124.97,75,2017-08-01,5.17,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-210137.07,48483.18,57.91,77,2017-08-01,5.86,K,0.00,K,284.00,K,1.60,K,37.10,K,12.30,K,22.20,K,90.00,K,31.00,K,59.00,K,13.70,K,1.60,K
201876.36,-437561.37,222.5,78,2017-08-01,4.85,K,1.60,K,253.00,K,2.30,K,36.80,K,20.20,K,26.30,K,85.00,K,37.00,K,68.00,K,19.90,K,1.10,K
22955.14,-132865.82,103.33,80,2017-08-01,7.26,K,0.00,K,323.00,K,1.40,K,39.70,K,20.40,K,30.70,K,52.00,K,19.00,K,32.00,K,12.10,K,1.40,K
-244187.91,46647.28,24.38,83,2017-08-01,5.17,K,0.00,K,300.00,K,1.40,K,30.40,K,9.10,K,17.20,K,97.00,K,45.00,K,73.00,K,12.40,K,1.80,K
-113445.89,138196.09,286.51,84,2017-08-01,6.56,K,0.00,K,291.00,K,1.90,Y,38.80,K,21.20,K,30.40,K,71.00,K,28.00,K,45.00,Y,17.10,Y,1.50,K
84299.83,-183639.69,146.3,86,2017-08-01,6.21,K,0.00,K,236.00,K,1.50,K,38.70,K,21.10,K,31.00,K,67.00,K,20.00,K,34.00,K,13.50,K,1.60,K
426887.81,-568238.27,-15.24,87,2017-08-01,7.21,K,0.00,K,211.00,K,2.30,K,41.00,K,30.40,K,35.10,K,58.00,K,27.00,K,40.00,K,19.40,K,2.90,K
29775.98,-341518.13,697.99,88,2017-08-01,7.18,K,0.00,K,260.00,K,1.20,K,39.40,K,19.20,Y,29.10,K,51.00,K,14.00,K,30.00,K,9.60,K,2.40,K
-40187.07,380229.54,1342.64,90,2017-08-01,6.10,K,0.00,K,275.00,K,1.00,K,37.40,K,11.40,K,24.90,K,83.00,K,11.00,K,33.00,K,7.60,K,1.60,K
-122290.65,438818.79,1229.87,91,2017-08-01,5.51,K,0.00,K,265.00,K,1.50,K,34.40,K,12.10,K,23.60,K,86.00,K,27.00,K,50.00,K,12.50,K,1.60,K
-78038.34,-86846.91,22.86,92,2017-08-01,,N,0.00,K,304.00,K,1.20,K,39.90,K,13.90,K,27.60,K,68.00,K,13.00,K,33.00,K,9.70,K,1.70,K
140627.18,-440122.15,103.63,99,2017-08-01,4.73,R,0.10,K,282.00,K,2.10,K,28.50,Y,17.80,K,22.30,K,97.00,K,60.00,K,78.00,K,18.20,K,1.60,K
-244987.47,60360.87,28.04,103,2017-08-01,5.71,K,0.00,K,318.00,K,1.40,K,33.20,K,10.70,K,18.90,K,97.00,K,37.00,K,66.00,K,12.40,K,1.50,K
-177445.92,-111397.86,91.44,104,2017-08-01,4.49,K,0.10,K,305.00,K,1.40,K,25.60,K,10.90,K,16.00,K,97.00,K,47.00,K,79.00,K,12.30,K,1.00,K
-34095.37,-153590.74,58.22,105,2017-08-01,7.72,K,0.00,K,291.00,K,1.20,K,43.20,Y,20.40,K,31.40,K,44.00,K,14.00,K,26.00,K,9.80,K,2.10,K
-267317.4,111758.96,160.02,106,2017-08-01,7.10,K,0.00,K,338.00,K,1.70,K,40.20,K,13.50,K,26.30,Y,86.00,K,28.00,K,51.00,Y,15.20,Y,1.30,K
24123.98,-397609.98,76.2,107,2017-08-01,2.42,R,0.60,K,202.00,K,2.40,R,23.90,K,11.60,K,16.60,K,100.00,K,100.00,K,,R,,I,1.40,K
-205897.99,25139.25,1.52,109,2017-08-01,4.55,K,0.00,K,254.00,K,1.60,K,30.70,K,9.90,K,18.70,K,99.00,K,40.00,K,74.00,K,14.00,K,1.50,K
-156869.06,-117751.64,33.53,111,2017-08-01,,N,0.00,K,294.00,K,1.50,K,22.80,K,12.20,K,15.70,K,95.00,K,63.00,K,82.00,K,12.70,K,1.80,K
-97501.57,-210104.69,164.59,113,2017-08-01,6.74,K,0.00,K,302.00,K,1.30,K,36.70,Y,11.40,K,21.70,K,97.00,K,14.00,K,51.00,K,11.30,K,2.20,K
-115747.4,-184735.82,71.63,114,2017-08-01,5.83,K,0.00,K,305.00,K,1.50,K,31.50,K,12.50,K,19.40,K,99.00,K,34.00,K,69.00,K,13.50,K,2.70,K
-150912.81,-143112.65,18.59,116,2017-08-01,,N,0.00,K,283.00,K,1.70,K,22.50,K,12.50,K,15.30,K,100.00,K,73.00,K,97.00,K,14.90,K,2.00,K
251251.09,-389737.84,880.87,117,2017-08-01,3.68,K,0.00,K,110.00,K,1.30,K,34.20,K,24.00,Y,28.40,K,51.00,K,24.00,K,35.00,K,11.30,K,1.60,K
-155828.52,45845.32,11.28,121,2017-08-01,7.20,K,0.00,K,306.00,K,1.60,K,36.90,K,14.20,K,25.00,K,81.00,K,28.00,K,50.00,K,14.00,K,2.50,K
-65094.4,-124951.84,55.78,124,2017-08-01,6.48,K,0.00,K,301.00,K,1.40,K,37.80,K,17.30,K,27.90,K,58.00,K,24.00,K,36.00,K,11.60,K,1.30,K
111129.18,-311644.18,152.4,125,2017-08-01,5.57,K,0.00,K,161.00,K,1.40,K,38.40,K,,S,34.00,Y,53.00,K,20.00,K,27.00,Y,12.20,Y,1.90,K
-121336.02,-128245.93,103.63,126,2017-08-01,6.12,K,2.80,H,315.00,K,1.40,K,34.90,K,11.60,K,21.70,K,86.00,K,23.00,K,52.00,K,11.50,K,1.40,K
-154996.01,-122364.95,19.81,129,2017-08-01,3.85,K,0.00,K,297.00,K,1.50,K,20.70,K,12.20,K,15.40,K,98.00,K,73.00,K,88.00,K,13.30,K,2.30,K
-105960.66,71113.67,80.77,131,2017-08-01,7.04,K,0.00,K,319.00,K,1.40,K,40.30,K,19.10,K,29.40,K,54.00,K,21.00,K,35.00,K,12.20,K,1.40,K
504616.69,-469069.02,83.82,135,2017-08-01,4.64,K,0.00,K,164.00,K,2.90,K,37.70,K,26.20,K,32.40,K,79.00,K,45.00,K,60.00,K,23.50,K,2.10,K
357193.98,-491742.84,3.66,136,2017-08-01,7.47,K,0.00,K,251.00,K,2.20,K,41.30,K,30.30,K,35.40,K,59.00,K,23.00,K,38.00,K,18.90,K,2.40,K
-172337.76,55700.92,41.45,139,2017-08-01,,N,0.00,K,287.00,K,1.40,K,39.70,K,16.50,K,28.20,K,74.00,K,20.00,K,36.00,K,11.90,K,1.40,K
-146599.71,13008.6,0,140,2017-08-01,8.51,K,0.00,K,313.00,K,1.50,K,37.40,K,18.20,K,26.80,K,64.00,K,26.00,K,41.00,K,12.60,K,4.60,K
54496.61,-143808.27,137.16,142,2017-08-01,7.24,K,0.00,K,300.00,K,1.30,K,40.10,K,20.00,K,30.60,K,54.00,K,14.00,K,29.00,K,10.40,K,1.50,K
-130749.95,-131659.43,74.68,143,2017-08-01,6.67,K,0.30,K,315.00,K,1.50,K,33.10,K,9.70,K,20.30,K,98.00,K,29.00,K,62.00,K,12.90,K,2.30,K
-228611.91,30953.09,29.57,144,2017-08-01,4.94,K,1.10,K,314.00,K,1.30,K,27.40,K,6.70,K,14.60,K,100.00,K,41.00,K,76.00,K,10.40,K,2.10,K
27989.38,-278968.3,124.97,146,2017-08-01,6.46,K,0.00,K,299.00,K,1.80,K,41.50,K,18.50,K,29.70,K,77.00,K,18.00,K,42.00,K,15.40,K,1.20,K
287622.14,-593558.16,176.78,147,2017-08-01,3.56,K,0.00,K,204.00,K,2.10,K,28.70,K,19.30,K,22.50,K,92.00,K,61.00,K,77.00,K,18.30,K,1.40,K
-34223.7,-77993.54,60.96,148,2017-08-01,6.48,K,0.00,K,316.00,K,1.60,K,39.10,K,15.10,K,27.60,K,84.00,K,23.00,K,44.00,K,14.10,K,1.00,Y
267611.36,-565636.2,135.64,150,2017-08-01,4.49,K,0.00,K,248.00,K,2.20,K,29.50,K,19.60,K,23.70,K,85.00,K,60.00,K,74.00,K,18.70,K,1.40,K
498416.7,-483931.25,76.5,151,2017-08-01,,N,0.00,K,157.00,K,2.50,K,36.30,K,27.00,K,31.80,K,63.00,K,41.00,K,54.00,K,21.20,K,2.30,K
92822.82,-421336.01,39.62,152,2017-08-01,4.40,K,0.00,K,209.00,K,1.00,R,29.10,K,15.60,K,21.20,K,100.00,K,1.00,K,,R,,I,1.40,K
282601.14,-543535.68,118.87,153,2017-08-01,3.53,K,0.10,K,181.00,K,2.40,Y,33.80,K,18.80,K,24.70,K,96.00,K,51.00,K,76.00,Y,20.20,Y,1.40,K
-134002.81,65873.73,12.19,155,2017-08-01,,N,0.00,K,264.00,K,1.50,K,39.70,K,17.50,K,27.70,K,66.00,K,23.00,K,41.00,K,13.30,K,0.90,K
-216397.14,494.34,1.52,157,2017-08-01,4.68,R,0.00,K,312.00,K,1.50,K,25.40,K,10.50,K,17.50,K,96.00,K,53.00,K,75.00,K,13.00,K,0.40,I
-231826.47,48058.31,82.3,158,2017-08-01,5.44,K,1.80,K,307.00,K,1.40,K,34.30,K,10.50,K,19.70,K,98.00,K,30.00,K,63.00,K,12.40,K,1.00,K
185722.51,-427956.84,181.36,159,2017-08-01,5.77,R,0.00,K,278.00,K,2.10,K,38.60,Y,20.70,K,26.90,K,81.00,K,33.00,K,59.00,K,18.30,K,1.70,K
-66833.09,-297699.43,86.87,160,2017-08-01,4.05,K,0.00,K,261.00,K,1.50,K,24.60,K,12.80,K,17.00,K,96.00,K,53.00,K,78.00,K,13.00,K,2.00,K
-100591.6,-63585.7,55.78,161,2017-08-01,6.32,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-58760.38,-282509.2,269.75,163,2017-08-01,5.13,R,0.00,K,227.00,K,1.00,K,40.30,Y,12.50,K,26.60,Y,70.00,H,12.00,H,30.00,Y,7.40,Y,1.00,K
-19444.29,-352721.4,163.37,165,2017-08-01,3.57,K,0.00,K,201.00,K,1.70,K,27.00,K,13.20,K,19.10,K,97.00,K,55.00,K,75.00,K,14.50,K,1.60,K
-129869.16,-31281.62,24.99,167,2017-08-01,6.92,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
81542.48,-214608.97,121.92,169,2017-08-01,6.26,K,0.00,H,271.00,H,1.60,H,41.00,Y,20.50,K,30.40,H,71.00,H,17.00,H,36.00,K,13.70,K,1.40,H
-177124.69,1776.81,10.67,170,2017-08-01,6.13,K,0.00,K,313.00,K,1.60,K,35.00,K,14.30,K,23.20,K,87.00,K,30.00,K,57.00,K,14.20,K,1.90,K
-181015.99,-44463.83,4.88,171,2017-08-01,4.78,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
257509.77,-564159.67,102.11,173,2017-08-01,3.28,K,0.00,K,227.00,K,2.20,K,22.90,K,19.40,K,20.90,K,94.00,K,83.00,K,90.00,K,19.10,K,1.70,K
176449.2,-466720.49,5.18,174,2017-08-01,5.08,K,0.00,K,295.00,K,2.20,K,29.70,K,19.40,K,23.40,K,92.00,K,59.00,K,77.00,K,19.10,K,1.40,K
491416.82,-500814.9,70.1,175,2017-08-01,,N,0.00,K,163.00,K,2.50,K,37.20,K,28.50,K,32.80,K,60.00,K,42.00,K,51.00,K,21.30,K,2.60,K
-188130.23,-17747.19,155.45,178,2017-08-01,6.11,K,3.50,K,295.00,K,1.40,K,35.00,K,13.10,K,22.80,K,85.00,K,25.00,K,50.00,K,11.80,K,1.70,K
269629.91,-479371.16,495.6,179,2017-08-01,5.97,K,0.00,K,252.00,K,2.00,K,39.50,K,22.00,Y,28.60,K,73.00,K,26.00,K,52.00,K,17.80,K,2.10,K
405431.95,-539033.6,-60.96,181,2017-08-01,,N,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
67140.28,-242406.84,91.44,182,2017-08-01,6.89,K,0.00,K,344.00,R,1.30,K,38.90,K,24.00,Y,34.30,Y,80.00,K,13.00,K,24.00,Y,10.70,Y,1.60,K
186132.77,-167778.31,1122.88,183,2017-08-01,,N,0.00,K,329.00,K,1.00,K,40.60,K,20.80,K,31.30,K,50.00,K,9.00,K,22.00,K,6.80,K,2.90,K
268489.35,-582925.19,114.91,184,2017-08-01,3.73,K,0.00,K,219.00,K,2.20,K,26.80,K,19.80,K,22.40,K,93.00,K,65.00,K,80.00,K,18.80,K,1.30,K
-221290.93,11238.34,0.3,187,2017-08-01,5.14,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-13327.05,-110748.78,73.76,188,2017-08-01,6.35,K,0.00,K,284.00,K,1.80,K,38.60,K,18.10,K,29.00,K,77.00,K,22.00,K,45.00,K,16.00,K,1.40,Y
184260.79,-182267.79,1122.27,189,2017-08-01,,N,0.00,K,318.00,K,1.00,K,41.40,K,17.10,K,30.90,K,49.00,K,9.00,K,22.00,K,6.60,K,2.80,K
-20593.38,-181640.54,82.3,190,2017-08-01,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-166045.13,-37524.01,102.11,191,2017-08-01,6.46,K,0.30,K,299.00,K,1.30,K,39.70,Y,13.80,K,25.60,K,86.00,K,15.00,K,38.00,K,10.30,K,1.30,K
256131.66,-414015.37,1569.11,192,2017-08-01,2.24,K,0.00,K,111.00,K,1.80,Y,28.90,K,14.40,K,20.50,K,92.00,K,49.00,K,73.00,Y,15.50,Y,1.30,K
-172771.94,-151985.94,15.24,193,2017-08-01,2.99,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-74889.88,-31810.22,50.29,194,2017-08-01,7.23,K,0.00,K,290.00,K,1.40,K,39.50,Y,18.70,K,28.90,Y,47.00,K,20.00,K,36.00,Y,12.30,Y,2.30,K
-95573.06,97402.73,284.99,195,2017-08-01,6.53,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
180338.95,-376058.4,777.24,197,2017-08-01,5.70,K,0.00,K,200.00,K,1.60,K,37.10,K,16.90,K,27.80,K,95.00,K,23.00,K,43.00,K,14.00,K,2.40,K
82354.21,-409762.16,66.45,198,2017-08-01,4.22,H,0.00,K,225.00,K,1.90,K,31.60,Y,,S,19.90,H,96.00,H,49.00,H,81.00,K,16.40,K,1.50,K
288637.4,-415057,2106.17,199,2017-08-01,2.25,K,2.50,K,133.00,K,1.70,Y,25.30,K,10.60,K,18.20,K,100.00,K,45.00,K,81.00,Y,15.00,Y,1.00,K
347186.66,-467188.66,12.19,200,2017-08-01,7.86,K,0.00,K,260.00,K,2.20,K,41.60,K,30.20,K,35.60,K,70.00,K,24.00,K,38.00,K,19.20,K,2.50,K
-51063.86,-331897.13,77.72,202,2017-08-01,2.95,K,0.40,K,212.00,K,1.60,K,20.20,K,11.50,K,15.10,K,100.00,K,74.00,K,91.00,K,13.60,K,1.30,Y
44779.63,-239266.44,64.01,203,2017-08-01,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
136207.87,-397798.31,429.77,204,2017-08-01,6.51,K,0.00,K,232.00,K,1.70,K,38.20,K,18.20,K,28.80,Y,72.00,H,25.00,H,44.00,Y,15.40,Y,2.40,K
-32365.36,-204517.24,222.5,205,2017-08-01,8.23,K,0.00,K,282.00,K,0.90,K,39.80,K,21.40,K,32.30,K,28.00,K,12.00,K,18.00,K,5.30,K,2.30,K
-66571.84,-52038.52,45.72,206,2017-08-01,6.67,K,0.00,K,293.00,K,1.50,K,38.80,Y,17.10,K,27.90,K,69.00,K,20.00,K,40.00,K,12.90,K,1.70,K
338840.83,-520781.41,176.17,207,2017-08-01,8.79,K,0.00,K,325.00,K,1.90,K,41.40,K,30.90,Y,36.90,K,44.00,K,23.00,K,31.00,K,16.80,K,2.00,K
345632.99,-475062.37,10.97,208,2017-08-01,6.91,K,0.00,K,254.00,K,2.30,K,40.40,K,29.20,K,35.30,K,64.00,K,27.00,K,41.00,K,19.90,K,1.90,K
-162244.51,-121083.02,73.15,209,2017-08-01,3.26,K,0.10,K,268.00,K,1.40,K,17.70,K,11.70,K,13.70,K,95.00,K,75.00,K,89.00,K,11.80,K,2.00,K
-168252.59,-162340.79,22.86,210,2017-08-01,4.27,K,0.00,K,327.00,K,1.50,K,21.20,K,10.40,K,15.40,K,97.00,K,64.00,K,83.00,K,12.60,K,1.60,Y
-136564.45,-110205.19,56.39,211,2017-08-01,5.85,K,0.00,K,291.00,K,1.50,K,36.60,Y,11.00,K,21.10,K,93.00,K,26.00,K,59.00,K,12.70,K,1.70,K
-152115.66,30487.78,2.13,212,2017-08-01,8.08,K,0.00,K,287.00,K,1.10,Y,37.90,K,15.30,K,25.70,K,71.00,K,15.00,K,34.00,Y,8.80,Y,3.90,K
-202108.38,-6975.35,181.66,213,2017-08-01,3.81,K,0.10,K,281.00,K,1.40,K,19.80,K,11.20,K,14.70,K,96.00,K,66.00,K,84.00,K,12.00,K,2.70,K
-137341.92,-153480.04,46.63,214,2017-08-01,4.54,K,0.00,K,298.00,K,1.50,K,26.50,K,12.40,K,17.00,K,97.00,K,57.00,K,79.00,K,13.50,K,1.60,Y
131614.09,-412854.19,468.17,215,2017-08-01,6.13,R,0.00,K,288.00,K,2.10,K,38.80,Y,18.70,K,28.30,Y,100.00,H,26.00,H,55.00,Y,18.30,Y,1.50,K
148914.65,-416484.47,298.7,216,2017-08-01,5.29,R,1.90,K,253.00,K,2.00,K,39.30,R,18.50,K,26.20,K,83.00,K,28.00,K,60.00,K,17.80,K,1.60,K
105940.58,-415678.16,218.85,217,2017-08-01,4.27,R,3.10,K,212.00,K,1.80,K,33.30,R,15.50,K,23.10,H,91.00,H,40.00,H,63.00,K,15.80,K,1.30,Y
356651.44,-483775.97,-45.72,218,2017-08-01,8.35,K,0.00,K,250.00,K,2.20,K,40.40,K,29.40,K,35.10,K,52.00,K,25.00,K,39.00,K,19.10,K,3.30,K
124858.72,-421512.55,282.24,219,2017-08-01,5.54,R,0.00,H,0.00,R,2.00,K,25.60,Y,25.50,R,25.50,H,77.00,H,27.00,H,61.00,K,17.30,K,0.80,R
171681.53,-378760.31,801.62,220,2017-08-01,4.93,R,0.60,K,183.00,K,1.20,K,38.60,K,17.60,K,30.40,K,53.00,K,18.00,K,28.00,K,10.10,K,1.30,Y
411903.51,-379426.27,47.24,221,2017-08-01,6.83,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
-183912.28,225746.31,74.98,222,2017-08-01,6.55,K,0.00,K,413.00,R,2.50,Y,37.10,K,23.70,Y,31.10,Y,85.00,K,37.00,K,54.00,Y,20.80,Y,1.90,K
-195442.49,292807.75,180.44,224,2017-08-01,,N,0.00,K,285.00,K,1.60,K,44.30,Y,19.00,K,31.10,Y,73.00,K,13.00,K,35.00,Y,13.90,Y,1.30,K
-236965.32,399156.44,833.02,225,2017-08-01,6.46,K,0.00,K,304.00,K,1.40,K,39.30,Y,13.20,K,25.60,Y,87.00,K,16.00,K,43.00,Y,12.00,Y,1.30,K
-157445.61,74466.62,24.99,226,2017-08-01,7.33,K,0.10,K,310.00,K,1.60,K,39.00,K,17.20,K,27.50,K,73.00,K,26.00,K,44.00,K,14.40,K,2.00,K
-69656.36,54982.86,463.3,227,2017-08-01,6.74,K,0.00,K,303.00,K,1.40,K,38.00,K,19.90,K,28.90,K,56.00,K,19.00,K,34.00,K,11.50,K,1.40,R
-68956.6,69181.09,624.84,228,2017-08-01,7.01,K,0.00,K,310.00,K,1.30,K,37.10,K,22.50,K,29.50,K,48.00,K,20.00,K,32.00,K,11.30,K,1.50,Y
-159658.04,-159258.82,97.54,229,2017-08-01,2.99,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
26194.37,-401132.58,134.11,230,2017-08-01,,N,0.00,K,192.00,K,1.80,K,25.00,K,15.50,K,19.30,K,96.00,K,58.00,K,79.00,K,15.60,K,2.10,R
-46995.06,-371449.06,16.76,231,2017-08-01,,N,0.00,K,163.00,K,1.60,K,20.10,Y,14.00,K,16.30,K,94.00,K,75.00,K,87.00,K,14.00,K,2.80,Y
-42441.47,-344690.9,65.53,232,2017-08-01,,N,0.00,K,201.00,K,1.50,K,24.60,K,13.20,K,17.10,K,94.00,K,61.00,K,79.00,K,13.40,K,1.40,K
349138.69,-423868.7,756.82,233,2017-08-01,,N,0.40,H,215.00,K,1.50,K,38.70,K,26.90,R,32.50,Y,47.00,H,22.00,H,32.00,Y,13.50,Y,2.80,K
291331.16,-343224.3,588.26,234,2017-08-01,7.01,K,0.00,K,201.00,K,1.50,K,38.10,K,24.10,Y,31.30,K,47.00,K,24.00,K,32.00,K,12.80,K,2.80,K
-139798.76,88069.21,7.32,235,2017-08-01,,N,0.00,K,297.00,K,1.90,K,37.70,K,14.90,K,26.60,K,92.00,K,39.00,K,53.00,K,16.30,K,1.40,K
-166154.48,422278.29,1299.97,236,2017-08-01,6.14,K,0.00,K,275.00,K,1.10,K,38.20,Y,10.20,K,24.10,K,76.00,K,14.00,K,35.00,K,7.90,K,1.50,K
274655.92,-491474.57,466.34,237,2017-08-01,6.10,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
261741.15,-453351.86,488.9,238,2017-08-01,5.86,R,0.30,K,217.00,K,2.20,Y,42.00,Y,23.90,Y,31.20,Y,77.00,H,22.00,H,49.00,Y,19.20,Y,2.30,Y
282446.01,-478811.02,538.89,239,2017-08-01,6.29,A,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
259425.79,-468953.62,433.12,240,2017-08-01,5.72,K,1.70,K,234.00,K,2.10,K,37.30,K,22.70,Y,28.70,K,78.00,K,23.00,K,54.00,K,18.40,K,2.30,K
224499.88,-502911.12,68.28,241,2017-08-01,4.03,K,0.20,H,257.00,K,2.40,Y,28.50,K,18.80,K,22.10,K,99.00,K,73.00,K,90.00,Y,20.40,Y,1.70,K
-132100.57,20620.89,-3.05,242,2017-08-01,6.45,K,0.00,K,316.00,K,1.80,Y,36.90,K,14.30,K,25.50,K,86.00,K,37.00,K,55.00,Y,15.90,Y,1.70,K
-135955.3,27045.47,-3.05,243,2017-08-01,6.92,K,0.00,K,299.00,K,1.50,K,38.10,K,15.60,K,25.90,K,76.00,K,24.00,K,45.00,K,13.00,K,2.20,K
-157956.78,153837.18,21.95,244,2017-08-01,6.60,R,0.00,K,304.00,K,2.60,R,41.10,K,22.70,R,31.70,Y,93.00,K,39.00,K,,R,,I,1.30,K
