"46","MacDoel","MacDoel","Siskiyou","11/11/1985","6/11/1986","False","True","4254","Grass","-122.063610","41.792222","Siskiyou"
"47","Brentwood","Brentwood","Contra Costa","11/18/1985","12/31/2030","True","True","45","Grass","-121.6599","37.928258","Contra Costa"
"48","Tulelake","Tulelake","Siskiyou","2/3/1986","9/30/1993","False","True","4042","Grass","-121.426670","42.003333","Siskiyou"
"49","Oceanside","Oceanside","San Diego","3/11/1986","10/29/2003","False","False","50","Grass","-117.319720","33.255833","San Diego"
"50","Thermal","Thermal","Riverside","7/22/1986","1/11/1999","False","True","-30","Grass","-116.241670","33.646389","Riverside"
"51","Healdsburg","Healdsburg","Sonoma","8/24/1986","3/28/1994","False","True","180","Grass","-122.869460","38.661906","Sonoma"
"52","San Luis Obispo","San Luis Obispo","San Luis Obispo","4/2/1986","12/31/2030","True","True","330","Grass","-120.661780","35.305442","San Luis Obispo"
"53","Greenfield","Greenfield","Monterey","10/10/1986","10/23/1991","False","True","270","Grass","-121.256940","36.341111","Monterey"
"54","Blackwells Corner","Blackwells Corner","Kern","10/19/1986","12/31/2030","True","True","705","Grass","-119.9593","35.649861","Kern"
"55","Palm Desert","Palm Desert","Riverside","5/26/1987","4/11/1994","False","True","200","Grass","-116.3825","33.730556","Riverside"
"56","Los Banos","Los Banos","Merced","6/28/1988","12/31/2030","True","True","95","Grass","-120.7539","37.096694","Merced"
"57","Buntingville","Susanville","Lassen","6/22/1986","12/31/2030","True","True","4005","Grass","-120.433948","40.289799","Lassen"
"58","Santa Paula","Santa Paula","Ventura","7/30/1987","2/15/1991","False","True","175","Grass","-119.118890","34.301667","Ventura"
"59","Tehachapi","Tehachapi","Kern","7/29/1986","8/23/1990","False","True","4110","Grass","-118.438610","35.114167","Kern"
"60","Barstow","Barstow","San Bernardino","11/20/1986","2/20/1992","False","True","2180","Grass","-117.1150","34.903333","San Bernardino"
"61","Orland","Orland","Glenn","5/13/1987","5/26/2010","False","False","198","Grass","-122.153510","39.691822","Glenn"
"62","Temecula","Rancho California","Riverside","11/25/1986","12/31/2030","True","True","1420","Grass","-117.228270","33.486650","Riverside"
"63","Novato","Novato","Marin","7/1/1986","1/18/2002","False","True","25","Grass","-122.543780","38.121739","Marin"
"64","Santa Ynez","Santa Ynez","Santa Barbara","11/21/1986","12/31/2030","True","True","490","Grass","-120.079240","34.583144","Santa Barbara"
"65","Walnut Creek","Walnut Creek","Contra Costa","7/22/1987","3/8/2002","False","True","440","Grass","-122.082260","37.914392","Contra Costa"
"66","San Diego","San Diego","San Diego","4/27/1989","12/19/2001","False","True","370","Grass","-117.134720","32.733056","San Diego"
"67","Goleta","Santa Barbara","Santa Barbara","2/17/1988","4/7/1993","False","True","30","Grass","-119.838890","34.432222","Santa Barbara"
"68","Seeley","Seeley","Imperial","5/29/1987","12/31/2030","True","True","40","Grass","-115.732070","32.759575","Imperial"
"69","San Jose","San Jose","Santa Clara","6/8/1987","11/22/2002","False","True","125","Grass","-121.951820","37.326189","Santa Clara"
"70","Manteca","Manteca","San Joaquin","11/12/1987","12/31/2030","True","True","33","Grass","-121.223190","37.834822","San Joaquin"
"71","Modesto","Modesto","Stanislaus","6/25/1987","12/31/2030","True","True","35","Grass","-121.187760","37.645222","Stanislaus"
"72","Palo Verde","Palo Verde","Imperial","9/8/1987","12/20/2000","False","True","230","Alfalfa","-114.7225","33.3875","Imperial"
"73","Hollywood Hills","Burbank","Los Angeles","3/4/1988","9/14/1993","False","True","560","Grass","-118.317780","34.147222","Los Angeles"
"74","Escondido","Escondido","San Diego","4/26/1988","12/24/1998","False","True","450","Grass","-116.981110","33.09","San Diego"
"75","Irvine","Irvine","Orange","10/7/1987","12/31/2030","True","True","410","Grass","-117.721180","33.688450","Orange"
"76","Betteravia","Guadalupe","Santa Barbara","12/18/1987","7/1/1993","False","True","160","Grass","-120.511670","34.923889","Santa Barbara"
"77","Oakville","Napa","Napa","3/1/1989","12/31/2030","True","True","190","Grass","-122.410210","38.428475","Napa"
"78","Pomona","Pomona","Los Angeles","3/14/1989","12/31/2030","True","True","730","Grass","-117.813070","34.056589","Los Angeles"
"79","Angwin","St. Helena","Napa","5/11/1989","12/27/1996","False","True","1720","Grass","-122.421860","38.555242","Napa"
