STNNO,STNNAME,LAT,LONG,ELEV,Elev (m),Start,End
160,San Luis Obispo West,35.335261,-120.735881,285,86.184,11/1/2000,
161,Patterson,37.438944,-121.138511,183,55.3392,8/23/1999,
162,Indio,33.746111,-116.257778,40,12.096,12/24/1999,2/26/2006
163,Atascadero,35.472556,-120.648142,885,267.624,11/21/2000,
164,Valley of the Moon,38.311144,-122.498664,155,46.872,4/1/2000,12/18/2001
165,Sisquoc,34.841878,-120.212736,536,162.0864,4/26/2000,
166,Lodi West,38.129933,-121.386594,25,7.56,9/13/2000,
167,Tracy,37.725881,-121.475517,82,24.7968,9/1/2001,
168,Denair,37.553111,-120.779278,140,42.336,8/28/2002,
169,Porterville,36.082056,-119.093422,400,120.96,8/2/2000,
170,Concord,38.015372,-122.020278,35,10.584,4/6/2001,
171,Union City,37.598758,-122.053233,16,4.8384,2/5/2001,
172,Lost Hills NW,35.733222,-119.742553,225,68.04,7/26/2000,7/1/2003
173,Torrey Pines,32.901867,-117.250458,335,101.304,11/29/2000,
174,Long Beach,33.383697,-114.719211,17,5.1408,9/22/2000,
175,Palo Verde II,33.663325,-117.093383,230,69.552,1/11/2001,
176,La Quinta,33.685556,-116.305556,42,12.7008,11/10/2000,9/26/2006
177,Watsonville West,36.9,-121.813111,212,64.1088,11/30/2000,3/22/2006
178,Moraga,37.837614,-122.140739,510,154.224,2/27/2002,
179,Winchester,33.086967,-115.678653,1626,491.7024,2/7/2002,
180,Westmorland,33.124167,-115.803333,-218,-65.9232,11/8/2001,7/21/2003
181,Westmorland North,33.078611,-115.660556,-200,-60.48,4/1/2004,
182,Delano,35.833,-119.255956,300,90.72,4/1/2002,
183,Owens Lake North,32.729481,-117.139481,3684,1114.0416,12/16/2002,
184,San Diego II,32.729578,-117.139342,377,114.0048,3/1/2002,
185,UC-Mex,32.411111,-115.197222,39,11.7936,1/19/2002,5/20/2003
186,UC-San Luis,32.492778,-114.826111,48,14.5152,4/16/2002,
187,Black Point,38.090933,-122.526703,1,0.3024,6/1/2003,
189,Owens Lake South,36.358628,-117.943869,3682,1113.4368,4/1/2003,
190,Five Points South We,36.382028,-120.22985,270,81.648,7/2/2003,
191,Pleasanton,37.663969,-121.885033,335,101.304,5/1/2004,
192,Lake Arrowhead,34.255142,-117.218139,5148,1556.7552,3/20/2004,
194,Oakdale,37.727194,-120.850861,165,49.896,11/2/2004,
195,Auburn,38.887603,-121.102908,935,282.744,2/16/2005,
196,Esparto,38.691786,-122.013808,174,52.6176,4/15/2005,
197,Palmdale,34.614981,-118.032492,2550,771.12,4/6/2005,
198,Santa Paula,34.324639,-119.104875,218,65.9232,3/30/2005,
199,Big Bear Lake,34.237419,-116.865706,6910,2089.584,7/19/2005,
200,Indio II,32.674353,-115.044381,40,12.096,5/16/2006,
201,UC-Andrade,32.492778,-115.041111,120,36.288,1/1/2006,
202,Nipomo,35.028281,-120.560033,255,77.112,6/27/2006,
203,Alpaugh,35.862583,-119.503569,210,63.504,7/11/2006,
204,Santa Clarita,33.268447,-116.36505,1410,426.384,12/4/2006,
207,Borrego Springs,33.678186,-116.272989,578,174.7872,12/4/2006,
208,La Quinta II,33.678056,-116.273056,36,10.8864,2/6/2007,
209,Watsonville West II,36.913083,-121.823653,240,72.576,6/13/2007,
210,Carmel,36.540889,-121.881958,75,22.68,7/22/2008,
211,Gilroy,37.01,-121.54,185,55.944,9/1/2009,
