station_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
152,3.05872,3.170293,3.757077,4.03539,3.903439,3.895997,3.945483,4.154444,3.869284,3.90591,3.20332,2.785835
153,2.684202,3.008429,3.491642,3.795052,3.786011,3.641419,3.559885,3.776195,3.655904,3.390784,2.938354,2.603428
154,3.12037,3.322272,3.986722,4.452447,4.45128,4.282622,4.382457,4.750863,4.130542,4.078296,3.519476,2.899722
155,3.254855,3.25,3.15,3.531166,3.744801,3.744194,3.799984,3.745103,3.599765,3.475773,3.099681,2.949984
156,3.081237,3.211675,3.832376,4.180625,3.972771,3.979262,4.115737,4.498413,3.934245,3.925603,3.257807,2.866976
157,3.302661,3.258914,3.203553,3.223519,3.551538,3.472573,3.580756,3.524329,3.356881,3.173103,3.109615,2.97773
158,3.347095,3.350741,3.199864,3.353917,3.712212,3.604609,3.662903,3.667467,3.458751,3.355957,3.15238,3.052804
159,3.323043,3.41879,4.013695,4.537765,4.237899,4.386287,4.504525,4.847506,4.255603,4.402934,3.560053,2.988788
160,3.246087,3.339832,3.618445,3.754993,3.647137,3.610207,3.454409,3.463994,3.23784,3.648751,2.961008,3.043958
161,3.546561,3.444953,3.344831,3.685642,3.983441,3.997652,3.926723,3.831358,3.638433,3.842132,3.152136,3.152679
162,3.308984,3.449464,4.105478,4.634099,4.591508,4.54177,4.721946,5.133449,4.372998,4.385702,3.693748,2.999135
163,3.096521,3.162177,3.350949,3.585723,3.46558,3.361008,3.325702,3.276598,3.072543,3.318553,2.863155,2.984842
164,3.324455,3.327789,3.197747,3.344693,3.69902,3.57262,3.605662,3.610876,3.393724,3.310968,3.146456,2.99634
165,2.511236,2.789653,3.099338,3.484748,3.231682,3.18208,3.129263,3.000148,2.750241,3.022186,2.504726,2.649723
166,3.248212,3.250048,3.15,3.448218,3.700102,3.800162,3.798379,3.797291,3.548325,3.550156,3.1,2.949553
167,3.33896,3.344157,3.244157,3.553859,3.786613,3.728149,3.728085,3.680225,3.458169,3.626096,3.190689,3.139319
168,3.605114,3.55519,3.393516,3.80022,3.993621,3.999877,3.896348,3.85,3.701846,3.947358,3.253068,3.202945
169,4.008011,3.809875,4.001673,4.208486,4.222129,4.419558,3.976074,4.024562,3.903035,4.457757,3.431378,3.445695
170,3.325817,3.290928,3.158302,3.32125,3.586851,3.586851,3.597181,3.587242,3.433609,3.307605,3.107226,2.958344
171,3.281288,3.264894,3.173741,3.25656,3.489964,3.489411,3.555674,3.588584,3.30026,3.229108,3.027573,3.01112
172,3.696725,3.625681,3.793715,4.054837,3.962424,3.976655,3.701771,3.756963,3.506847,3.997497,3.214293,3.313852
173,2.92382,3.129915,3.629161,3.907134,3.950209,3.803154,3.804364,3.970837,3.806718,3.569328,3.08009,2.75035
174,3.332037,3.44721,3.91743,4.47412,4.273154,4.299951,4.375131,4.723801,4.224709,4.226876,3.508235,3.081827
175,2.901039,3.004743,3.748152,4.199832,4.202086,3.959061,4.056453,4.255754,3.893476,3.881679,3.310996,2.802561
176,3.195529,3.363192,3.947819,4.449496,4.471661,4.364094,4.493703,4.836701,4.171557,4.120924,3.575283,2.953164
177,3.658614,3.499933,3.50502,3.639668,3.731352,3.816456,3.71158,3.620944,3.562198,3.641996,3.143236,3.182475
178,3.314144,3.209498,3.15296,3.189118,3.416779,3.419879,3.51026,3.533931,3.393061,3.192681,3.07928,2.953601
179,2.731364,2.991858,3.256882,3.725916,3.639697,3.433096,3.595095,3.707651,3.251341,3.292429,2.884373,2.635965
180,3.006155,3.188462,3.858585,4.305763,4.439122,4.013473,4.250612,4.409438,3.913444,3.858673,3.317286,2.701573
181,2.920774,3.070389,3.715597,4.214433,4.268589,3.905729,4.007709,4.214204,3.836152,3.722532,3.234634,2.694693
182,3.915145,3.777958,4.047312,4.247511,4.22123,4.311176,3.989681,4.000909,3.810966,4.290309,3.427661,3.382519
183,2.50949,2.652085,2.816322,3.1165,3.022498,3.117938,3.126827,2.979682,2.807599,2.639091,2.666008,2.386402
184,2.874514,3.013225,3.572963,3.856455,3.913331,3.755112,3.720811,3.907656,3.770748,3.511363,3.041397,2.752768
185,*,*,*,*,*,*,*,*,*,*,*,*
186,*,*,*,*,*,*,*,*,*,*,*,*
187,3.323603,3.347887,3.199644,3.275992,3.583902,3.530574,3.626757,3.607354,3.422637,3.229535,3.165378,3.001277
188,4.096677,3.900467,3.809376,4.179083,4.200517,4.277863,3.840173,3.901707,3.799657,4.446073,3.477964,3.501282
189,2.51967,2.694943,2.843818,3.17537,3.070136,3.176533,3.154215,2.972387,2.78304,2.67881,2.69639,2.426651
190,4.202672,4.009112,3.979901,4.190499,4.193334,4.358076,3.905515,3.867198,3.829983,4.442229,3.495006,3.546451
