"1","Fresno/F.S.U. USDA","Fresno","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","-119.731670","36.814444"
"2","FivePoints","Five Points","Fresno","6/7/1982","12/31/2030","True","True","285","Grass","-120.112910","36.336222"
"3","Beach /Santa Cruz CO","Watsonville","Santa Cruz","5/30/1982","8/25/1986","False","True","10","Grass","-121.793330","36.880556"
"4","Webb /Santa Cruz CO","Watsonville","Santa Cruz","5/30/1982","4/29/1988","False","True","230","Grass","-121.726110","36.9725"
"5","Shafter","Shafter","Kern","6/1/1982","12/31/2030","True","True","360","Grass","-119.281790","35.532556"
"6","Davis","Davis","Yolo","7/17/1982","12/31/2030","True","True","60","Grass","-121.776360","38.535694"
"7","Firebaugh/Telles","Firebaugh","Fresno","9/22/1982","12/31/2030","True","True","185","Grass","-120.590920","36.851222"
"8","Gerber","Gerber","Tehama","9/22/1982","8/14/2014","False","True","250","Grass","-122.165510","40.044053"
"9","Lamont","LaMont","Kern","9/29/1982","4/10/1989","False","True","406","Grass","-118.894440","35.238056"
"10","Bakersfield/Greenlee","Mettler Station","Kern","10/1/1982","4/16/1986","False","True","400","Grass","-119.082130","35.077083"
"11","Bakersfield/Bonanza","Conner","Kern","9/29/1982","4/17/1986","False","True","290","Grass","-119.180830","35.160556"
"12","Durham","Chico","Butte","10/19/1982","12/31/2030","True","True","130","Grass","-121.824430","39.608639"
"13","Camino","Placerville","El Dorado","10/19/1982","12/31/2030","True","True","2780","Grass","-120.7336","38.753136"
"14","Orland","Orland","Glenn","10/30/1982","4/21/1987","False","True","235","Grass","-122.171390","39.739444"
"15","Stratford","Stratford","Kings","10/29/1982","12/31/2050","True","True","193","Grass","-119.851430","36.157972"
"16","San Juan","Watsonville","Monterey","10/23/1982","8/24/1995","False","True","44","Grass","-121.703060","36.904722"
"17","El Centro","Meloland","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","-115.448330","32.846389"
"18","Westmorland","Westmorland","Imperial","11/11/1982","4/9/1986","False","True","-195","Grass","-115.613890","33.0775"
"19","Castroville","Castroville","Monterey","11/18/1982","12/31/2030","True","False","9","Grass","-121.773640","36.768167"
"20","Corcoran","Corcoran","Kings","11/22/1982","4/9/1986","False","True","190","Grass","-119.572780","36.040278"
"21","Kettleman","Kettleman City","Kings","11/19/1982","12/31/2030","False","True","340","Grass","-119.8949","35.867750"
"22","Caruthers","Laton","Kings","11/18/1982","6/6/1988","False","True","238","Grass","-119.779170","36.490278"
"23","King City","King City","Monterey","11/19/1982","12/23/1985","False","True","300","Grass","-121.117220","36.174444"
"24","Thermal","Thermal","Riverside","11/22/1982","3/3/1986","False","True","-120","Grass","-116.111940","33.631111"
"25","Rancho Mirage","Rancho Mirage","Riverside","11/22/1982","11/20/1985","False","True","240","Grass","-116.423890","33.764444"
"26","Lost Hills","Lost Hills","Kern","11/29/1982","8/13/1986","False","True","410","Grass","-119.689720","35.505278"
"27","Zamora","Woodland","Yolo","12/5/1982","1/20/2006","False","True","50","Grass","-121.907540","38.808758"
"28","Soledad","Soledad","Monterey","1/4/1983","2/11/1987","False","True","170","Grass","-121.364170","36.4475"
"29","Cantua Creek","Cantua Creek","Fresno","1/2/1983","7/23/1985","False","True","275","Grass","-120.314440","36.516389"
"30","Nicolaus","Nicolaus","Sutter","1/3/1983","12/29/2011","False","True","32","Grass","-121.546080","38.8706"
"31","McFarland/Kern Farms","McFarland","Kern","1/11/1983","3/8/1993","False","True","480","Grass","-119.153550","35.702722"
"32","Colusa","Colusa","Colusa","1/13/1983","8/12/2016","False","True","55","Grass","-122.0248","39.226861"
"33","Visalia","Visalia","Tulare","1/5/1983","3/1/2007","False","True","350","Grass","-119.224530","36.301056"
"34","Rancho California","Rancho California","Riverside","1/21/1983","11/25/1986","False","True","1820","Grass","-117.198610","33.488611"
"35","Bishop","Bishop","Inyo","2/4/1983","12/31/2030","True","True","4170","Grass","-118.405530","37.358514"
"36","Blythe","Blythe","Riverside","3/13/1983","8/12/1988","False","True","270","Grass","-114.558060","33.654722"
"37","USDA Salinas","Salinas","Monterey","4/11/1983","7/27/1992","False","True","120","Grass","-121.545280","36.620556"
"38","Santa Maria","Santa Maria","Santa Barbara","5/3/1983","4/27/1999","False","True","270","Grass","-120.384170","34.954444"
"39","Parlier","Parlier","Fresno","5/23/1983","12/31/2030","True","True","337","Grass","-119.504040","36.597444"
"40","Mendota/MuriettaUSDA","Mendota","Fresno","6/14/1983","4/15/1992","False","True","187","Grass","-120.387220","36.683333"
"41","Calipatria/Mulberry","Calipatria","Imperial","7/17/1983","12/31/2030","True","True","-110","Grass","-115.415850","33.042986"
"42","Lodi","Lodi","San Joaquin","10/16/1983","1/18/2001","False","True","23","Grass","-121.346110","38.109444"
"43","McArthur","Glenburn","Shasta","10/31/1983","12/31/2030","True","True","3310","Grass","-121.456020","41.063767"
"44","U.C. Riverside","Riverside","Riverside","6/2/1985","12/31/2030","True","True","1020","Grass","-117.336980","33.964942"
"45","San Diego","San Diego","San Diego","6/9/1985","4/27/1989","False","True","370","Grass","-117.135280","32.786667"
"46","MacDoel","MacDoel","Siskiyou","11/11/1985","6/11/1986","False","True","4254","Grass","-122.063610","41.792222"
"47","Brentwood","Brentwood","Contra Costa","11/18/1985","12/31/2030","True","True","45","Grass","-121.6599","37.928258"
"48","Tulelake","Tulelake","Siskiyou","2/3/1986","9/30/1993","False","True","4042","Grass","-121.426670","42.003333"
"49","Oceanside","Oceanside","San Diego","3/11/1986","10/29/2003","False","False","50","Grass","-117.319720","33.255833"
"50","Thermal","Thermal","Riverside","7/22/1986","1/11/1999","False","True","-30","Grass","-116.241670","33.646389"
"51","Healdsburg","Healdsburg","Sonoma","8/24/1986","3/28/1994","False","True","180","Grass","-122.869460","38.661906"
"52","San Luis Obispo","San Luis Obispo","San Luis Obispo","4/2/1986","12/31/2030","True","True","330","Grass","-120.661780","35.305442"
"53","Greenfield","Greenfield","Monterey","10/10/1986","10/23/1991","False","True","270","Grass","-121.256940","36.341111"
"54","Blackwells Corner","Blackwells Corner","Kern","10/19/1986","12/31/2030","True","True","705","Grass","-119.9593","35.649861"
"55","Palm Desert","Palm Desert","Riverside","5/26/1987","4/11/1994","False","True","200","Grass","-116.3825","33.730556"
"56","Los Banos","Los Banos","Merced","6/28/1988","12/31/2030","True","True","95","Grass","-120.7539","37.096694"
"57","Buntingville","Susanville","Lassen","6/22/1986","12/31/2030","True","True","4005","Grass","-120.433948","40.289799"
"58","Santa Paula","Santa Paula","Ventura","7/30/1987","2/15/1991","False","True","175","Grass","-119.118890","34.301667"
"59","Tehachapi","Tehachapi","Kern","7/29/1986","8/23/1990","False","True","4110","Grass","-118.438610","35.114167"
"60","Barstow","Barstow","San Bernardino","11/20/1986","2/20/1992","False","True","2180","Grass","-117.1150","34.903333"
"61","Orland","Orland","Glenn","5/13/1987","5/26/2010","False","False","198","Grass","-122.153510","39.691822"
"62","Temecula","Rancho California","Riverside","11/25/1986","12/31/2030","True","True","1420","Grass","-117.228270","33.486650"
"63","Novato","Novato","Marin","7/1/1986","1/18/2002","False","True","25","Grass","-122.543780","38.121739"
"64","Santa Ynez","Santa Ynez","Santa Barbara","11/21/1986","12/31/2030","True","True","490","Grass","-120.079240","34.583144"
"65","Walnut Creek","Walnut Creek","Contra Costa","7/22/1987","3/8/2002","False","True","440","Grass","-122.082260","37.914392"
"66","San Diego","San Diego","San Diego","4/27/1989","12/19/2001","False","True","370","Grass","-117.134720","32.733056"
"67","Goleta","Santa Barbara","Santa Barbara","2/17/1988","4/7/1993","False","True","30","Grass","-119.838890","34.432222"
"68","Seeley","Seeley","Imperial","5/29/1987","12/31/2030","True","True","40","Grass","-115.732070","32.759575"
"69","San Jose","San Jose","Santa Clara","6/8/1987","11/22/2002","False","True","125","Grass","-121.951820","37.326189"
"70","Manteca","Manteca","San Joaquin","11/12/1987","12/31/2030","True","True","33","Grass","-121.223190","37.834822"
"71","Modesto","Modesto","Stanislaus","6/25/1987","12/31/2030","True","True","35","Grass","-121.187760","37.645222"
"72","Palo Verde","Palo Verde","Imperial","9/8/1987","12/20/2000","False","True","230","Alfalfa","-114.7225","33.3875"
"73","Hollywood Hills","Burbank","Los Angeles","3/4/1988","9/14/1993","False","True","560","Grass","-118.317780","34.147222"
"74","Escondido","Escondido","San Diego","4/26/1988","12/24/1998","False","True","450","Grass","-116.981110","33.09"
"75","Irvine","Irvine","Orange","10/7/1987","12/31/2030","True","True","410","Grass","-117.721180","33.688450"
"76","Betteravia","Guadalupe","Santa Barbara","12/18/1987","7/1/1993","False","True","160","Grass","-120.511670","34.923889"
"77","Oakville","Napa","Napa","3/1/1989","12/31/2030","True","True","190","Grass","-122.410210","38.428475"
"78","Pomona","Pomona","Los Angeles","3/14/1989","12/31/2030","True","True","730","Grass","-117.813070","34.056589"
"79","Angwin","St. Helena","Napa","5/11/1989","12/27/1996","False","True","1720","Grass","-122.421860","38.555242"
"80","Fresno State","Fresno","Fresno","10/3/1988","12/31/2030","True","True","339","Grass","-119.742310","36.820833"
