2014-09-05,85328,26.43,38.52,2.83,3.04,6844.04,6077.04,0.89,-3.48,6.56
2014-09-05,85334,26.03,38.20,2.33,2.95,6739.89,6062.49,0.90,-3.67,6.16
2014-09-05,85344,25.20,37.18,1.82,2.59,6680.58,6261.08,0.94,-4.43,5.85
2014-09-05,85364,26.42,38.21,3.39,2.95,6930.67,5895.29,0.85,-3.40,6.87
2014-09-05,85365,25.87,38.27,3.15,2.96,6909.93,5915.80,0.86,-3.41,6.65
2014-09-05,86403,25.62,36.62,1.66,2.19,6856.20,6419.96,0.94,-5.11,5.97
2014-09-05,86404,25.89,36.51,1.70,2.06,6904.88,6425.59,0.93,-5.31,6.07
2014-09-05,86406,24.70,36.38,1.60,2.23,6797.87,6460.51,0.95,-5.11,5.82
2014-09-05,86426,26.23,35.91,1.94,1.54,6879.81,6364.98,0.93,-6.28,6.47
2014-09-05,86436,25.99,36.22,1.76,1.89,6914.14,6536.45,0.95,-5.76,6.23
2014-09-05,86440,26.76,36.55,1.87,1.73,6907.44,6443.44,0.93,-6.00,6.47
2014-09-05,89010,5.02,27.22,2.07,0.33,7048.47,6615.34,0.94,-8.25,5.50
2014-09-05,89013,8.56,30.90,2.95,0.32,7074.94,6682.83,0.94,-8.77,7.15
2014-09-05,89019,21.29,34.65,3.08,0.56,7087.26,6598.41,0.93,-8.61,8.18
2014-09-05,89020,18.14,36.22,3.59,0.39,7045.23,6602.31,0.94,-9.28,9.22
2014-09-05,89029,24.38,33.94,2.06,1.23,6963.53,6463.92,0.93,-6.84,6.43
2014-09-05,89039,24.20,33.77,2.21,1.06,6987.15,6529.88,0.93,-7.31,6.69
2014-09-05,89046,21.52,31.39,2.39,0.77,7120.29,6644.13,0.93,-7.82,6.66
2014-09-05,89048,20.77,35.93,3.38,0.45,7086.86,6509.95,0.92,-8.92,8.86
2014-09-05,89060,20.05,36.04,3.46,0.42,7087.65,6608.29,0.93,-9.17,9.02
2014-09-05,89061,20.99,35.12,3.27,0.46,7119.05,6438.38,0.90,-8.63,8.54
2014-09-05,89402,9.30,26.62,1.77,0.39,6759.82,6651.13,0.98,-8.72,5.02
2014-09-05,89410,9.63,26.79,1.73,0.42,6788.42,6523.38,0.96,-8.38,4.97
2014-09-05,89412,1.44,27.39,2.06,0.33,6501.73,6195.47,0.95,-8.24,5.19
2014-09-05,89422,4.87,25.64,1.65,0.33,6906.86,6571.43,0.95,-8.28,4.77
2014-09-05,89439,8.97,27.21,1.74,0.36,6808.30,6588.35,0.97,-8.67,5.07
2014-09-05,89444,8.24,25.95,1.67,0.39,6827.54,6445.44,0.94,-8.18,4.80
2014-09-05,89449,7.88,24.84,1.82,0.38,6868.91,6635.54,0.97,-8.39,4.89
2014-09-05,89451,8.67,26.02,1.78,0.38,6791.74,6641.95,0.98,-8.66,4.96
2014-09-05,89460,10.10,27.07,1.77,0.44,6774.18,6477.97,0.96,-8.30,5.04
2014-09-05,89508,8.14,27.69,1.79,0.33,6613.58,6305.91,0.95,-8.61,5.05
2014-09-05,89510,8.18,28.92,1.84,0.35,6486.16,6129.16,0.94,-8.53,5.17
2014-09-05,89511,8.46,26.11,1.77,0.36,6838.08,6571.06,0.96,-8.51,4.97
2014-09-05,90001,14.61,30.28,1.37,1.82,6588.38,6268.30,0.95,-5.30,4.32
2014-09-05,90002,14.56,30.00,1.36,1.84,6595.46,6264.04,0.95,-5.25,4.27
